#{"t_start": 1782478114.7687337, "env_id": "Reacher-v5"}
r,l,t
-58.289222,50,1.606024
-65.863109,50,1.656399
-66.625917,50,1.720043
-59.669304,50,1.783629
-53.55001,50,1.845419
-63.290927,50,1.906459
-69.268415,50,1.961731
-65.348655,50,2.016866
-64.185194,50,2.06875
-65.055195,50,2.129184
-57.930071,50,2.176886
-62.99027,50,2.242069
-64.255695,50,2.306384
-66.944803,50,2.353581
-55.939348,50,2.411624
-56.062926,50,2.475086
-67.683521,50,2.541728
-61.949784,50,2.60307
-61.05007,50,2.663515
-58.778233,50,2.716757
-61.633114,50,2.76282
-61.773206,50,2.813883
-52.892035,50,2.862609
-60.831262,50,2.915338
-66.0888,50,2.962871
-59.184368,50,3.014218
-63.720522,50,3.079867
-68.181258,50,3.139655
-61.602379,50,3.196652
-60.344088,50,3.259484
-53.211018,50,3.321988
-63.628931,50,3.384999
-56.29959,50,3.450328
-60.738238,50,3.504029
-60.018378,50,3.555341
-58.001134,50,3.605877
-53.808563,50,3.653608
-61.944466,50,3.713923
-53.385049,50,3.772479
-68.82823,50,3.837985
-61.14355,50,5.500069
-61.905509,50,5.560468
-59.924981,50,5.611401
-61.546655,50,5.677063
-51.409883,50,5.737802
-58.184439,50,5.790987
-61.133354,50,5.840992
-52.770407,50,5.90684
-63.308189,50,5.964457
-63.589446,50,6.014824
-66.648684,50,6.067728
-64.819577,50,6.12918
-53.367188,50,6.185992
-60.373807,50,6.235782
-64.344783,50,6.292997
-54.626087,50,6.359885
-53.954128,50,6.420118
-55.229785,50,6.478169
-56.346419,50,6.526088
-64.979076,50,6.581305
-55.372733,50,6.64597
-59.528139,50,6.69649
-56.555811,50,6.743946
-62.467102,50,6.795705
-61.250195,50,6.844095
-54.765588,50,6.891536
-44.714787,50,6.940718
-66.537141,50,6.989052
-57.682168,50,7.036462
-62.053913,50,7.09335
-60.412102,50,7.147367
-66.725428,50,7.200612
-56.059425,50,7.250013
-54.170401,50,7.310039
-61.19777,50,7.378411
-63.454875,50,7.440365
-64.691515,50,7.487772
-68.321674,50,7.541201
-58.292672,50,7.589697
-60.301376,50,7.637667
-69.316508,50,7.687357
-62.402521,50,8.795625
-58.124969,50,8.844912
-67.67886,50,8.898624
-60.496601,50,8.945977
-64.621741,50,8.995199
-62.892872,50,9.048329
-59.197717,50,9.099493
-60.958921,50,9.150858
-54.165293,50,9.207554
-64.362802,50,9.27546
-61.943791,50,9.33354
-63.169954,50,9.389577
-51.795486,50,9.452443
-61.234383,50,9.515988
-59.763386,50,9.572342
-60.146489,50,9.627316
-68.43225,50,9.679452
-65.785264,50,9.726889
-57.492913,50,9.776838
-64.461604,50,9.82752
-67.655675,50,9.877122
-52.002721,50,9.928873
-56.795556,50,9.988865
-65.668559,50,10.048199
-50.864564,50,10.105249
-56.230505,50,10.160852
-58.648555,50,10.212078
-58.938338,50,10.263461
-54.070706,50,10.314778
-56.115492,50,10.374311
-61.981321,50,10.44437
-63.100694,50,10.502402
-55.11579,50,10.561409
-58.453465,50,10.61448
-60.944289,50,10.662314
-71.007297,50,10.721099
-67.27235,50,10.781721
-61.603177,50,10.838172
-70.283661,50,10.903179
-63.014377,50,10.967138
-59.14345,50,11.01626
-64.140201,50,12.201257
-61.720415,50,12.26291
-54.869119,50,12.325646
-70.223407,50,12.386478
-61.176965,50,12.447332
-56.605662,50,12.510674
-58.909372,50,12.574047
-72.874335,50,12.633565
-57.448517,50,12.69766
-58.730031,50,12.760866
-58.121391,50,12.8245
-56.155913,50,12.887019
-61.438123,50,12.950702
-61.504809,50,13.014338
-56.827917,50,13.077817
-64.572381,50,13.137802
-59.833269,50,13.198076
-62.080478,50,13.245465
-55.937391,50,13.308509
-63.157015,50,13.374687
-58.303514,50,13.434409
-48.245594,50,13.485732
-54.243951,50,13.542076
-54.78535,50,13.595855
-66.115403,50,13.655095
-67.64502,50,13.713578
