#{"t_start": 1782735274.7073853, "env_id": "Reacher-v5"}
r,l,t
-63.359485,50,1.740211
-62.309725,50,1.795583
-54.555875,50,1.860729
-64.129559,50,1.934237
-61.862199,50,2.002576
-63.440142,50,2.062512
-57.811508,50,2.119291
-64.134109,50,2.188378
-48.153105,50,2.256901
-67.531849,50,2.324071
-64.320906,50,2.382442
-59.826312,50,2.434431
-71.137446,50,2.491917
-55.58152,50,2.557741
-64.516676,50,2.624251
-65.111392,50,2.687545
-63.276125,50,2.744856
-62.253174,50,2.809141
-63.514911,50,2.869197
-63.008482,50,2.934721
-63.097416,50,3.000699
-66.380456,50,3.063557
-72.917933,50,3.117657
-60.907979,50,3.170228
-66.039395,50,3.234376
-63.774598,50,3.303463
-59.260759,50,3.35918
-56.651723,50,3.413413
-67.788391,50,3.47646
-60.829838,50,3.53285
-52.483034,50,3.589429
-65.901309,50,3.658736
-54.531467,50,3.726703
-62.896741,50,3.781299
-62.822791,50,3.840455
-63.060967,50,3.895154
-58.884059,50,3.949152
-64.63515,50,4.003543
-60.295012,50,4.071622
-56.425554,50,4.139568
-62.577792,50,5.834059
-58.49656,50,5.885375
-62.666867,50,5.940687
-47.489511,50,6.003923
-62.314187,50,6.059629
-58.56996,50,6.114164
-52.599884,50,6.165987
-57.742381,50,6.228451
-63.823601,50,6.287488
-64.221299,50,6.347634
-54.630002,50,6.401011
-57.232214,50,6.459547
-54.905469,50,6.512194
-60.897989,50,6.569261
-52.072333,50,6.619554
-53.798228,50,6.675393
-58.88953,50,6.735892
-61.169625,50,6.79903
-53.052613,50,6.863127
-59.938117,50,6.922872
-64.831442,50,6.98059
-59.381436,50,7.051649
-62.230987,50,7.112597
-58.757738,50,7.167951
-50.732491,50,7.232809
-58.540016,50,7.304419
-63.832863,50,7.370522
-63.861865,50,7.43801
-50.738773,50,7.49388
-68.315213,50,7.558707
-57.962044,50,7.63228
-59.124208,50,7.70058
-53.535917,50,7.762566
-47.7191,50,7.831207
-58.614833,50,7.90034
-56.418311,50,7.959829
-66.208174,50,8.033378
-50.485485,50,8.102316
-62.836226,50,8.161409
-56.821645,50,8.221251
-55.494053,50,8.288612
-61.381854,50,9.488309
-63.843358,50,9.53961
-59.31958,50,9.596751
-54.087973,50,9.650269
-60.966519,50,9.70194
-58.612903,50,9.764823
-59.551334,50,9.83075
-58.827586,50,9.895881
-55.359536,50,9.954772
-61.57955,50,10.021576
-53.907632,50,10.077186
-61.028691,50,10.142457
-56.906045,50,10.198998
-62.141636,50,10.267655
-63.370461,50,10.334535
-52.973041,50,10.406816
-56.7104,50,10.474623
-51.448006,50,10.540204
-56.275119,50,10.603137
-52.769253,50,10.658935
-61.854504,50,10.725295
-65.094446,50,10.792952
-55.751243,50,10.862061
-51.388456,50,10.920935
-62.178112,50,10.983182
-65.560687,50,11.05517
-52.834318,50,11.123075
-63.484054,50,11.189572
-68.55465,50,11.263213
-57.830994,50,11.325484
-60.018772,50,11.385317
-58.220222,50,11.448327
-58.422738,50,11.509181
-59.980811,50,11.564384
-64.095898,50,11.627275
-54.235709,50,11.692275
-50.775849,50,11.754296
-52.738429,50,11.821491
-62.410619,50,11.879407
-60.993718,50,11.949652
-56.179474,50,12.011604
-60.949914,50,13.301071
-62.057521,50,13.368811
-51.947494,50,13.436598
-57.766422,50,13.498197
-57.538146,50,13.555085
-56.974357,50,13.622414
-64.137686,50,13.695537
-68.249993,50,13.76504
-57.465976,50,13.831646
-55.527821,50,13.895684
-64.178936,50,13.964709
-69.444392,50,14.023918
-60.189477,50,14.087838
-52.8021,50,14.152727
-56.467593,50,14.225178
-60.311274,50,14.288709
-63.550809,50,14.359424
-67.141621,50,14.429888
-61.11988,50,14.48564
-53.0521,50,14.548831
-60.099229,50,14.608703
-61.406517,50,14.670112
-55.615297,50,14.725813
-60.264596,50,14.777677
-63.707247,50,14.827122
-65.503723,50,14.877553
-61.147825,50,14.944545
-59.585348,50,15.004957
