#{"t_start": 1782730396.64561, "env_id": "Reacher-v5"}
r,l,t
-61.413745,50,1.591969
-58.997781,50,1.651973
-62.102106,50,1.707266
-58.493222,50,1.758132
-53.512535,50,1.819994
-58.882122,50,1.869613
-60.766028,50,1.927529
-62.889773,50,1.980873
-57.985002,50,2.035861
-61.634238,50,2.087727
-62.839193,50,2.14242
-57.015338,50,2.211184
-63.066321,50,2.268414
-65.591664,50,2.32435
-61.612274,50,2.372003
-57.084786,50,2.420095
-67.459052,50,2.46781
-58.798069,50,2.516875
-52.356985,50,2.567332
-55.593745,50,2.616463
-62.342145,50,2.672649
-56.078295,50,2.731037
-59.178717,50,2.792449
-59.461302,50,2.845986
-53.058694,50,2.901972
-61.540717,50,2.961489
-56.727619,50,3.012533
-64.586751,50,3.070441
-60.709254,50,3.122134
-60.830545,50,3.179827
-57.779154,50,3.234454
-63.679287,50,3.285341
-54.13772,50,3.335122
-59.160004,50,3.391513
-60.485648,50,3.453541
-66.734644,50,3.502706
-68.974432,50,3.554649
-60.087308,50,3.604392
-57.045862,50,3.666103
-60.094358,50,3.731277
-64.434258,50,5.348977
-64.768576,50,5.397437
-66.213526,50,5.452215
-57.742974,50,5.510775
-58.722422,50,5.563463
-52.226907,50,5.62054
-58.012388,50,5.681442
-61.77817,50,5.733871
-59.79407,50,5.790187
-61.621841,50,5.85817
-56.279202,50,5.909801
-62.995137,50,5.973447
-54.853614,50,6.025582
-66.618157,50,6.083045
-63.766555,50,6.132572
-59.809201,50,6.185293
-59.383026,50,6.238427
-75.985882,50,6.286986
-60.654994,50,6.336664
-63.217367,50,6.391316
-57.480066,50,6.450558
-60.238212,50,6.499955
-61.571647,50,6.548819
-58.372442,50,6.596764
-59.32335,50,6.656518
-61.992102,50,6.717602
-64.7916,50,6.776219
-66.315246,50,6.827829
-59.378148,50,6.882248
-65.313613,50,6.932802
-66.824171,50,6.994452
-57.862914,50,7.045579
-61.46925,50,7.103046
-64.590087,50,7.167535
-71.182276,50,7.233093
-58.46279,50,7.300866
-62.120208,50,7.359568
-60.982838,50,7.4152
-60.799636,50,7.469098
-63.351126,50,7.527815
-57.158911,50,7.595413
-64.367328,50,8.753093
-51.843783,50,8.805799
-56.780378,50,8.865463
-61.823332,50,8.917513
-48.198811,50,8.97894
-62.113186,50,9.036711
-61.368375,50,9.093824
-61.564834,50,9.145108
-61.360713,50,9.203748
-58.62577,50,9.257916
-62.181952,50,9.308165
-60.520598,50,9.358182
-61.838957,50,9.412861
-58.245831,50,9.467367
-49.395071,50,9.530439
-58.890247,50,9.588642
-58.265658,50,9.647931
-55.875004,50,9.706033
-63.082898,50,9.77135
-58.422238,50,9.838572
-59.013553,50,9.894755
-61.893053,50,9.958753
-66.201757,50,10.022894
-68.099482,50,10.092788
-60.788436,50,10.145772
-61.814815,50,10.207507
-59.563545,50,10.262318
-72.238379,50,10.324722
-65.677762,50,10.39091
-61.434448,50,10.455574
-56.658898,50,10.51337
-63.944213,50,10.576499
-60.737774,50,10.629775
-62.532875,50,10.693058
-58.236672,50,10.763043
-65.391143,50,10.824426
-61.035517,50,10.892039
-51.150028,50,10.954738
-65.852027,50,11.011828
-62.680898,50,11.068116
-63.596469,50,11.13485
-62.436183,50,12.35201
-57.950879,50,12.399567
-56.080203,50,12.458771
-64.577232,50,12.51898
-66.079546,50,12.576242
-59.564773,50,12.630358
-52.284079,50,12.693716
-59.355229,50,12.763007
-61.020621,50,12.815973
-59.63673,50,12.867642
-57.148527,50,12.923981
-59.355495,50,12.975156
-52.982444,50,13.03911
-60.066007,50,13.109638
-54.291196,50,13.174693
-67.908655,50,13.239894
-58.680471,50,13.292702
-69.854917,50,13.363074
-60.818112,50,13.427156
-69.043048,50,13.490236
-56.701987,50,13.555
-57.284985,50,13.618577
-63.004234,50,13.685044
-62.46189,50,13.750933
-59.634832,50,13.811528
-59.73146,50,13.876142
-59.170574,50,13.942547
-64.109117,50,14.000546
-59.264916,50,14.053432
-62.187021,50,14.117723
-54.500753,50,14.176682
-57.213182,50,14.245942
-66.507304,50,14.311825
-60.442359,50,14.371634
-65.070212,50,14.441223
-58.660982,50,14.506571
-65.789213,50,14.572709
-63.257356,50,14.633404
-67.22915,50,14.684231
-56.394933,50,14.745217
-49.392706,50,14.803795
-59.15508,50,16.021632
-56.07209,50,16.083379
-59.136425,50,16.142537
-65.44849,50,16.19387
-61.577438,50,16.257797
-67.890022,50,16.316383
-58.877546,50,16.372525
-58.735264,50,16.427388
-68.857285,50,16.484287
-60.864847,50,16.532254
-67.560957,50,16.590644
-56.308284,50,16.659027
-57.508357,50,16.724396
-63.16284,50,16.781383
-56.092948,50,16.840241
-59.232473,50,16.90679
-67.686407,50,16.962027
-64.554432,50,17.019778
-55.968521,50,17.078738
-59.511236,50,17.14653
-68.133185,50,17.210265
-59.895773,50,17.266653
-56.882924,50,17.332112
-56.420798,50,17.40042
-67.471678,50,17.463426
-57.963025,50,17.528141
-52.697043,50,17.593984
-64.410008,50,17.660219
-60.077052,50,17.724922
-58.595171,50,17.776071
-58.384054,50,17.830484
-58.706256,50,17.882033
-64.887489,50,17.94562
-71.061346,50,18.013179
-51.216672,50,18.071844
-67.97673,50,18.141041
-55.531996,50,18.193712
-65.16903,50,18.262018
-70.54894,50,18.324441
-63.57302,50,18.389112
-56.06855,50,18.449821
-54.38627,50,19.663639
-64.418801,50,19.710498
-68.267544,50,19.762486
-59.038264,50,19.830897
-65.018052,50,19.899409
-55.24035,50,19.962996
-55.168067,50,20.029001
-50.082432,50,20.083542
-53.933341,50,20.140464
-52.521669,50,20.210526
-61.041319,50,20.272636
-59.264158,50,20.323085
-53.724944,50,20.383854
-58.118864,50,20.447009
-62.434867,50,20.513186
-66.469262,50,20.563028
-46.969595,50,20.628026
-60.910336,50,20.686374
-58.933104,50,20.744595
-60.118183,50,20.820029
-48.967619,50,20.889316
-63.764736,50,20.954199
-66.524955,50,21.016347
-59.92958,50,21.07364
-58.198235,50,21.135837
-57.634197,50,21.203106
-59.139882,50,21.264961
-63.32909,50,21.329491
-64.167626,50,21.400358
-58.741424,50,21.457994
-52.924629,50,21.520523
-67.076151,50,21.59223
-59.698937,50,21.665785
-60.568394,50,21.726554
-66.631528,50,21.790329
-53.645857,50,21.845733
-64.43136,50,21.910057
-58.244658,50,21.98038
-59.705449,50,22.050628
-64.749847,50,22.110788
-58.90028,50,22.17647
-62.772255,50,23.452675
-55.142609,50,23.517359
-60.487014,50,23.574551
-54.816748,50,23.628034
-57.618194,50,23.696091
-58.486056,50,23.761098
-57.145934,50,23.828394
-63.37801,50,23.889872
-58.753985,50,23.952501
-55.999076,50,24.019956
-54.34557,50,24.088006
-59.957305,50,24.152867
-46.93825,50,24.216697
-57.381937,50,24.27702
-66.332301,50,24.340915
-49.930053,50,24.400917
-63.997698,50,24.467204
-70.223272,50,24.52471
-67.680946,50,24.586625
-58.218931,50,24.643482
-56.905693,50,24.705007
-55.936313,50,24.772491
-58.376637,50,24.835456
-58.131513,50,24.899571
-61.539588,50,24.959858
-62.194042,50,25.027149
-47.810625,50,25.084279
-57.626889,50,25.145718
-61.360807,50,25.214992
-66.301341,50,25.283646
-57.560829,50,25.349132
-54.726579,50,25.40753
-63.476589,50,25.470162
-71.763314,50,25.53077
-66.069982,50,25.586581
-59.511738,50,25.638575
-68.161937,50,25.697465
-59.906928,50,25.757637
-56.851008,50,25.813533
-65.85725,50,25.864161
-59.66673,50,25.915944
-56.533324,50,27.061674
-55.66406,50,27.119134
-58.430065,50,27.180592
-47.294508,50,27.241751
-57.05201,50,27.302773
-54.575431,50,27.367818
-56.459473,50,27.424719
-60.280462,50,27.476104
-60.850776,50,27.532551
-59.374126,50,27.604788
-54.02267,50,27.658807
-61.157686,50,27.718178
-59.021221,50,27.773677
-59.912208,50,27.83198
-60.523262,50,27.889292
-58.530656,50,27.945524
-57.720903,50,27.999245
-57.128347,50,28.059839
-54.73806,50,28.117355
-61.070824,50,28.164048
-55.066127,50,28.221129
-57.268973,50,28.279695
-59.415998,50,28.334784
-63.624008,50,28.38963
-69.095784,50,28.445284
-51.466194,50,28.500362
-58.342255,50,28.54768
-54.247602,50,28.603155
-62.073951,50,28.65332
-70.69858,50,28.706132
-59.23207,50,28.765674
-52.210192,50,28.830558
-57.62524,50,28.884729
