step,cube_z,lowest_corner,tilt_deg,finger_sum,gap
0,0.05206,0.03106,0.0,0.08,0.33689
1,0.04519,0.02419,0.0,0.07999,0.3361
2,0.0344,0.0134,0.0,0.08,0.33994
3,0.021,-4e-05,0.1,0.08,0.34819
4,0.021,-0.0,0.0,0.08,0.34517
5,0.021,-0.0,0.0,0.08,0.34281
6,0.021,-0.0,0.0,0.08,0.34147
7,0.021,-0.0,0.0,0.08,0.33848
8,0.021,-0.0,0.0,0.07999,0.3328
9,0.021,-0.0,0.0,0.08,0.32113
10,0.021,-0.0,0.0,0.07999,0.30549
11,0.021,-0.0,0.0,0.08,0.28609
12,0.021,-0.0,0.0,0.07999,0.26583
13,0.021,-0.0,0.0,0.08,0.24476
14,0.021,-0.0,0.0,0.07999,0.22319
15,0.021,-0.0,0.0,0.08,0.20245
16,0.021,-0.0,0.0,0.07999,0.18091
17,0.021,-0.0,0.0,0.08,0.16141
18,0.021,-0.0,0.0,0.07999,0.14117
19,0.021,-0.0,0.0,0.08,0.12327
20,0.021,-0.0,0.0,0.08,0.10414
21,0.021,-0.0,0.0,0.08,0.08732
22,0.021,-0.0,0.0,0.07999,0.0691
23,0.021,-0.0,0.0,0.08,0.05305
24,0.021,-0.0,0.0,0.08,0.03642
25,0.02111,5e-05,0.1,0.07996,0.02495
26,0.021,-0.0,0.0,0.07999,0.00982
27,0.02099,-0.00067,1.4,0.08,0.00495
28,0.0212,2e-05,0.5,0.07873,0.01433
29,0.021,-1e-05,0.0,0.07808,0.01685
30,0.021,-0.0,0.0,0.07256,0.01619
31,0.021,-1e-05,0.0,0.06693,0.01484
32,0.02099,-8e-05,0.2,0.05878,0.01501
33,0.02185,0.00011,2.1,0.05426,0.01366
34,0.02117,7e-05,0.2,0.04579,0.01522
35,0.02114,3e-05,0.3,0.04526,0.01574
36,0.02497,0.00228,3.3,0.04523,0.0157
37,0.02732,0.00309,6.8,0.04522,0.01561
38,0.02988,0.00485,8.4,0.04518,0.01565
39,0.03241,0.00653,10.2,0.04518,0.01565
40,0.03492,0.00826,12.0,0.04518,0.01561
41,0.03772,0.01019,14.0,0.04517,0.0156
42,0.04069,0.01225,16.2,0.04518,0.0156
43,0.04388,0.01464,18.3,0.04518,0.0156
44,0.04768,0.01757,20.6,0.04517,0.01561
45,0.0519,0.02087,23.3,0.04519,0.01562
46,0.05597,0.02412,25.9,0.04518,0.01562
47,0.05876,0.02647,27.4,0.04517,0.01565
48,0.05908,0.02676,27.5,0.04517,0.0156
49,0.05913,0.0268,27.5,0.04517,0.01561
50,0.05875,0.0265,27.2,0.04517,0.0156
51,0.05795,0.02583,26.8,0.04517,0.0156
52,0.05735,0.02528,26.6,0.04517,0.01558
53,0.05717,0.02511,26.6,0.04516,0.01558
54,0.057,0.02496,26.5,0.04516,0.01556
55,0.05685,0.02483,26.5,0.04517,0.01557
56,0.05673,0.02473,26.4,0.04516,0.01557
57,0.05662,0.02463,26.3,0.04516,0.01557
58,0.05651,0.02454,26.3,0.04516,0.01557
59,0.05643,0.02447,26.2,0.04516,0.01558
60,0.05636,0.02441,26.2,0.04516,0.01559
61,0.05629,0.02436,26.2,0.04516,0.0156
62,0.05622,0.0243,26.1,0.04516,0.0156
63,0.05616,0.02425,26.1,0.04516,0.0156
64,0.0561,0.0242,26.0,0.04516,0.0156
65,0.05604,0.02416,26.0,0.04516,0.0156
66,0.05598,0.0241,26.0,0.04516,0.0156
67,0.05589,0.02403,25.9,0.04515,0.01559
68,0.05584,0.02398,25.9,0.04516,0.0156
69,0.0558,0.02394,25.9,0.04515,0.01559
70,0.05576,0.02392,25.9,0.04516,0.0156
71,0.05572,0.02389,25.8,0.04516,0.0156
72,0.05568,0.02386,25.8,0.04516,0.01561
73,0.05564,0.02382,25.8,0.04516,0.0156
74,0.0556,0.02379,25.7,0.04516,0.0156
75,0.05556,0.02376,25.7,0.04516,0.01559
76,0.05552,0.02372,25.7,0.04516,0.01559
77,0.05548,0.02369,25.7,0.04516,0.01558
78,0.05543,0.02365,25.7,0.04516,0.01557
79,0.05538,0.02361,25.6,0.04516,0.01556
80,0.05537,0.02361,25.6,0.04516,0.01558
81,0.05532,0.02356,25.6,0.04516,0.01557
82,0.05531,0.02356,25.6,0.04516,0.01557
83,0.0553,0.02355,25.6,0.04516,0.01557
84,0.05527,0.02352,25.5,0.04516,0.01557
85,0.05529,0.02354,25.5,0.04516,0.01558
86,0.05526,0.02352,25.5,0.04516,0.01558
87,0.05523,0.02349,25.5,0.04516,0.01558
88,0.05523,0.02349,25.5,0.04516,0.01558
89,0.05522,0.02349,25.5,0.04516,0.01558
90,0.05522,0.02349,25.5,0.04515,0.01559
91,0.05519,0.02346,25.5,0.04516,0.01558
92,0.05516,0.02343,25.5,0.04516,0.01558
93,0.05517,0.02344,25.5,0.04515,0.01558
94,0.05515,0.02343,25.4,0.04516,0.01558
95,0.05515,0.02343,25.5,0.04516,0.01558
96,0.05514,0.02343,25.4,0.04515,0.01559
97,0.05513,0.02341,25.5,0.04516,0.01558
98,0.05511,0.0234,25.4,0.04516,0.01557
99,0.05513,0.0234,25.5,0.04516,0.01556
100,0.05505,0.02335,25.4,0.04516,0.01556
101,0.05502,0.02331,25.4,0.04514,0.01559
102,0.0551,0.0234,25.4,0.04516,0.01558
103,0.05509,0.02338,25.4,0.04516,0.01558
104,0.05506,0.02336,25.4,0.04516,0.01557
105,0.05505,0.02334,25.4,0.04516,0.01555
106,0.05501,0.02331,25.4,0.04514,0.01561
107,0.05506,0.02335,25.4,0.04515,0.01556
108,0.055,0.02331,25.4,0.04516,0.01555
109,0.05493,0.02324,25.4,0.04515,0.01556
110,0.05504,0.02332,25.5,0.04516,0.01557
111,0.05496,0.02329,25.3,0.04515,0.01557
112,0.05492,0.02324,25.3,0.04515,0.01554
113,0.05494,0.02325,25.4,0.04515,0.01561
114,0.05505,0.02335,25.4,0.04516,0.01558
115,0.05492,0.02326,25.3,0.04516,0.01554
116,0.05492,0.02324,25.3,0.04516,0.01555
117,0.05489,0.02322,25.3,0.04514,0.01559
118,0.05498,0.0233,25.3,0.04516,0.01558
119,0.0549,0.02324,25.3,0.04516,0.01556
120,0.05484,0.02318,25.3,0.04515,0.01556
121,0.05491,0.02323,25.3,0.04515,0.0156
122,0.05485,0.02318,25.3,0.04515,0.01554
123,0.05485,0.02318,25.3,0.04515,0.01555
124,0.05485,0.02318,25.3,0.04516,0.01554
125,0.05485,0.02318,25.3,0.04516,0.01563
126,0.05491,0.02326,25.2,0.04516,0.01554
127,0.05491,0.02326,25.2,0.04515,0.01561
128,0.05491,0.02326,25.2,0.04516,0.01562
129,0.05491,0.02326,25.2,0.04515,0.01568
130,0.05493,0.02324,25.3,0.04516,0.01562
131,0.05493,0.02324,25.3,0.04516,0.01562
132,0.05493,0.02324,25.3,0.04515,0.01567
133,0.05487,0.02321,25.3,0.04516,0.01557
134,0.05487,0.02321,25.3,0.04516,0.01563
135,0.05487,0.02321,25.3,0.04515,0.01563
136,0.05488,0.02323,25.3,0.04516,0.01562
137,0.05488,0.02323,25.3,0.04516,0.01569
138,0.05488,0.02323,25.3,0.04515,0.01565
139,0.05494,0.02327,25.3,0.04516,0.01568
140,0.05494,0.02327,25.3,0.04514,0.01575
141,0.05481,0.02317,25.2,0.04516,0.01555
142,0.05481,0.02317,25.2,0.04515,0.0156
143,0.05481,0.02317,25.2,0.04515,0.01558
144,0.05481,0.02317,25.2,0.04516,0.01563
145,0.05481,0.02317,25.2,0.04516,0.01563
146,0.05472,0.02308,25.2,0.04516,0.01556
147,0.05472,0.02308,25.2,0.04515,0.01555
148,0.05479,0.02315,25.2,0.04516,0.01557
149,0.05479,0.02315,25.2,0.04516,0.01569
150,0.05479,0.02315,25.2,0.04515,0.01572
151,0.05472,0.02308,25.2,0.04515,0.01558
152,0.05472,0.02308,25.2,0.04516,0.0156
153,0.05472,0.02308,25.2,0.04515,0.01562
154,0.05472,0.0231,25.2,0.04516,0.01555
155,0.05472,0.0231,25.2,0.04515,0.01555
156,0.05472,0.0231,25.2,0.04515,0.0156
157,0.05472,0.0231,25.2,0.04515,0.01556
158,0.05472,0.0231,25.2,0.04516,0.01562
159,0.05472,0.0231,25.2,0.04515,0.01558
160,0.05473,0.02311,25.1,0.04516,0.01555
161,0.05473,0.02311,25.1,0.04515,0.0156
162,0.05473,0.02311,25.1,0.04515,0.0156
163,0.05473,0.02311,25.1,0.04515,0.01557
164,0.05473,0.02311,25.1,0.04516,0.0156
165,0.05473,0.02311,25.1,0.04516,0.0156
166,0.05471,0.02306,25.2,0.04515,0.0156
167,0.05476,0.02312,25.2,0.04516,0.01564
168,0.05476,0.02312,25.2,0.04515,0.01565
169,0.05476,0.02312,25.2,0.04515,0.01567
170,0.05476,0.02312,25.2,0.04516,0.01568
171,0.05476,0.02312,25.2,0.04515,0.01571
172,0.05476,0.02312,25.2,0.04515,0.01572
173,0.05476,0.02312,25.2,0.04515,0.01572
174,0.05476,0.02312,25.2,0.04515,0.01571
175,0.05476,0.02312,25.2,0.04515,0.01572
176,0.05467,0.02306,25.1,0.04515,0.01555
177,0.05467,0.02306,25.1,0.04515,0.01555
178,0.05467,0.02306,25.1,0.04515,0.01556
179,0.05467,0.02306,25.1,0.04515,0.01556
180,0.05467,0.02306,25.1,0.04515,0.01556
181,0.05467,0.02306,25.1,0.04515,0.01559
182,0.05467,0.02306,25.1,0.04515,0.01559
183,0.05467,0.02306,25.1,0.04515,0.01558
184,0.05467,0.02306,25.1,0.04515,0.01558
185,0.05467,0.02306,25.1,0.04515,0.01558
186,0.05467,0.02306,25.1,0.04515,0.01558
187,0.05467,0.02306,25.1,0.04515,0.01559
188,0.05467,0.02306,25.1,0.04515,0.01559
189,0.05467,0.02306,25.1,0.04515,0.01559
190,0.05467,0.02306,25.1,0.04515,0.01561
191,0.05467,0.02306,25.1,0.04515,0.01561
192,0.05467,0.02306,25.1,0.04515,0.0156
193,0.05467,0.02306,25.1,0.04515,0.0156
194,0.05467,0.02306,25.1,0.04515,0.01561
195,0.05467,0.02306,25.1,0.04515,0.01561
196,0.05467,0.02306,25.1,0.04515,0.01561
197,0.05467,0.02306,25.1,0.04515,0.01561
198,0.05467,0.02306,25.1,0.04515,0.01562
199,0.05469,0.02308,25.1,0.04515,0.01555
200,0.05469,0.02308,25.1,0.04515,0.01555
201,0.05469,0.02308,25.1,0.04515,0.01557
202,0.05469,0.02308,25.1,0.04515,0.01557
203,0.05469,0.02308,25.1,0.04515,0.01557
204,0.05469,0.02308,25.1,0.04515,0.01557
205,0.05469,0.02308,25.1,0.04515,0.01557
206,0.05469,0.02308,25.1,0.04515,0.01558
207,0.05469,0.02308,25.1,0.04515,0.01558
208,0.05469,0.02308,25.1,0.04515,0.01558
209,0.05469,0.02308,25.1,0.04515,0.01559
210,0.05469,0.02308,25.1,0.04515,0.0156
211,0.05469,0.02308,25.1,0.04515,0.01559
212,0.05469,0.02308,25.1,0.04515,0.01559
213,0.05469,0.02308,25.1,0.04515,0.01562
