step,gap,finger_sum,raw_grip_action,sent_grip_action,refresh,commands_close,yaw_to_cube_deg,cube_z,r_approach,r_fingers_on_cube,bump,held,reward_total
0,0.33644,0.07999,1.8849,1.8849,1,0,12.18,0.05206,0.3047,0.0,0.0003,0,0.006
1,0.34603,0.08,1.8972,1.8849,0,0,13.76,0.04519,0.2835,0.0,0.0,0,0.0056
2,0.35797,0.07999,1.922,1.8849,0,0,14.68,0.0344,0.2591,0.0,0.0003,0,0.0052
3,0.3696,0.08,1.9214,1.8849,0,0,23.4,0.021,0.2372,0.0,0.0,0,0.0047
4,0.3676,0.08,1.8689,1.8849,0,0,29.72,0.021,0.2408,0.0,0.0,0,0.0048
5,0.35467,0.07996,1.9684,1.9684,1,0,29.29,0.021,0.2656,0.0,0.001,0,0.0053
6,0.33969,0.07996,2.0225,1.9684,0,0,35.5,0.021,0.2973,0.0,0.001,0,0.006
7,0.32925,0.08,2.0592,1.9684,0,0,34.86,0.021,0.3215,0.0,0.0,0,0.0065
8,0.30866,0.07996,2.0098,1.9684,0,0,33.48,0.021,0.3746,0.0,0.001,0,0.0076
9,0.29198,0.08,1.9292,1.9684,0,0,38.88,0.021,0.4234,0.0,0.0,0,0.0086
10,0.28319,0.08,2.0523,2.0523,1,0,42.46,0.021,0.4513,0.0,0.0001,0,0.0092
11,0.25951,0.07997,1.9966,2.0523,0,0,41.21,0.021,0.5349,0.0,0.0007,0,0.011
12,0.23483,0.07994,1.995,2.0523,0,0,44.7,0.021,0.6362,0.0,0.0016,0,0.0133
13,0.21844,0.08,2.1212,2.0523,0,0,40.09,0.021,0.7121,0.0,0.0,0,0.0152
14,0.18983,0.08,2.0268,2.0523,0,0,42.04,0.021,0.8624,0.0,0.0001,0,0.0189
15,0.16886,0.08,1.9708,1.9708,1,0,37.61,0.021,0.9875,0.0,0.0,0,0.0223
16,0.1569,0.07999,2.1417,1.9708,0,0,37.24,0.021,1.0647,0.0,0.0002,0,0.0245
17,0.13437,0.07994,2.1299,1.9708,0,0,38.31,0.021,1.2218,0.0,0.0015,0,0.0294
