step,d_cube_median,d_ghost_median,finger_sum_median,cube_corner_median,arm_joints_pinned_median,grasping_pct
0,0.3389,0.33649,0.08,0.03106,0.0,0.0
1,0.33639,0.33261,0.08,0.02419,0.0,0.0
2,0.34085,0.33522,0.08,0.0134,0.0,0.0
3,0.34876,0.34113,0.08,-4e-05,0.0,0.0
4,0.34512,0.33499,0.08,-0.0,0.0,0.0
5,0.34197,0.32957,0.08,-0.0,0.0,0.0
6,0.3386,0.32418,0.08,-0.0,0.0,0.0
7,0.33248,0.31649,0.08,-0.0,0.0,0.0
8,0.32121,0.30404,0.08,-0.0,0.0,0.0
9,0.30406,0.28619,0.08,-0.0,0.0,0.0
10,0.28318,0.26491,0.07998,-0.0,0.0,0.0
11,0.2602,0.24197,0.07996,-0.0,0.0,0.0
12,0.23846,0.22023,0.07994,-0.0,0.0,0.0
13,0.21677,0.19888,0.07994,-0.0,0.0,0.0
14,0.19766,0.17989,0.07992,-0.0,0.0,0.0
15,0.17961,0.16208,0.07993,-0.0,0.0,0.0
16,0.16305,0.1455,0.07993,-0.0,0.0,0.0
17,0.14672,0.12928,0.07995,-0.0,0.0,0.0
18,0.13053,0.1131,0.07996,-0.0,0.0,0.0
19,0.11382,0.09665,0.07998,-0.0,0.0,0.0
20,0.09652,0.07982,0.07998,-0.0,0.0,0.0
21,0.0788,0.06303,0.07999,-0.0,0.0,0.0
22,0.06054,0.04667,0.07999,-0.0,0.0,0.0
23,0.04217,0.03276,0.08,-0.0,0.0,0.0
24,0.02433,0.02512,0.08,-0.0,0.0,0.0
25,0.00994,0.03039,0.08,-0.0,0.0,0.0
26,0.01273,0.03269,0.07627,-0.0,0.0,0.0
27,0.01306,0.03186,0.07996,-0.0,0.0,0.0
28,0.01555,0.0302,0.08,-0.0,0.0,0.0
29,0.0172,0.02939,0.07984,-0.0,0.0,0.0
30,0.01853,0.02884,0.07428,-0.0,0.0,0.0
31,0.02018,0.02876,0.06983,-0.0,0.0,0.0
32,0.02117,0.02936,0.06763,-0.0,0.0,0.0
