step,d_cube_median,d_ghost_median,finger_sum_median,cube_corner_median,arm_joints_pinned_median,grasping_pct
0,0.34335,0.33783,0.08,0.03106,0.0,0.0
1,0.35413,0.35038,0.07997,0.02419,0.0,0.0
2,0.35817,0.35546,0.08,0.0134,0.0,0.0
3,0.36381,0.36193,0.08,-1e-05,0.0,0.0
4,0.35717,0.35591,0.08,-0.0,0.0,0.0
5,0.35208,0.35129,0.08,-0.0,0.0,0.0
6,0.34816,0.34774,0.08,-0.0,0.0,0.0
7,0.34336,0.34332,0.08,-0.0,0.0,0.0
8,0.33539,0.33557,0.08,-0.0,0.0,0.0
9,0.32286,0.32317,0.08,-0.0,0.0,0.0
10,0.30666,0.30696,0.07999,-0.0,0.0,0.0
11,0.28763,0.28788,0.07998,-0.0,0.0,0.0
12,0.26689,0.26699,0.07997,-0.0,0.0,0.0
13,0.24573,0.24566,0.07995,-0.0,0.0,0.0
14,0.22541,0.22539,0.07993,-0.0,0.0,0.0
15,0.2061,0.20616,0.07992,-0.0,0.0,0.0
16,0.18806,0.18859,0.07992,-0.0,0.0,0.0
17,0.17044,0.17145,0.07993,-0.0,0.0,0.0
18,0.1532,0.15487,0.07994,-0.0,0.0,0.0
19,0.13573,0.13806,0.07996,-0.0,0.0,0.0
20,0.11781,0.12092,0.07996,-0.0,0.0,0.0
21,0.09969,0.10342,0.07998,-0.0,0.0,0.0
22,0.08112,0.08583,0.07998,-0.0,0.0,0.0
23,0.06275,0.06817,0.07999,-0.0,0.0,0.0
24,0.04527,0.05172,0.08,-0.0,0.0,0.0
25,0.03045,0.03752,0.08,-0.0,0.0,0.0
26,0.02633,0.03531,0.07444,-0.0,0.0,0.0
27,0.02329,0.03651,0.07574,-0.0,0.0,0.0
28,0.02257,0.03466,0.07635,-0.0,0.0,0.0
29,0.02219,0.03545,0.07599,-0.0,0.0,0.0
30,0.02305,0.03594,0.07131,-0.0,0.0,0.0
31,0.02477,0.03804,0.06742,-0.0,0.0,0.0
32,0.02637,0.04102,0.06348,-0.0,0.0,0.2
33,0.02852,0.04409,0.05975,-0.0,0.0,2.9
34,0.03045,0.04644,0.05592,-0.0,0.0,21.1
35,0.03059,0.04649,0.05251,-0.0,0.0,33.0
36,0.02939,0.04138,0.04736,4e-05,0.0,43.4
37,0.02977,0.03806,0.04422,0.0002,0.0,50.8
38,0.03097,0.03529,0.04336,0.00038,0.0,40.4
39,0.03337,0.03316,0.04216,0.00055,0.0,26.4
40,0.03531,0.034,0.0406,0.00086,0.0,19.9
41,0.03483,0.03644,0.04278,0.00132,0.0,23.8
42,0.03379,0.03996,0.04388,0.00223,0.0,27.1
43,0.0338,0.04464,0.04482,0.0047,0.0,26.4
44,0.03315,0.04818,0.045,0.00847,0.0,29.5
45,0.03284,0.05094,0.04497,0.01288,0.0,33.4
46,0.03261,0.05351,0.04494,0.01789,0.0,34.4
47,0.0326,0.05588,0.04492,0.02307,0.0,34.6
48,0.03253,0.0579,0.04489,0.02619,0.0,33.8
49,0.03259,0.05916,0.04489,0.02855,0.0,33.8
50,0.03269,0.06027,0.04487,0.03123,0.0,33.6
51,0.03277,0.06127,0.04487,0.03385,0.0,34.0
52,0.03275,0.06204,0.04486,0.03567,0.0,33.8
53,0.03277,0.06278,0.04487,0.03616,0.0,34.2
54,0.03283,0.06272,0.04486,0.03623,0.0,34.4
55,0.03304,0.06305,0.04484,0.03621,0.0,34.2
56,0.03305,0.06353,0.04486,0.03651,0.0,33.4
57,0.03307,0.06374,0.04485,0.03689,0.0,32.8
58,0.03314,0.06395,0.04483,0.03755,0.0,32.0
59,0.03331,0.06416,0.04484,0.03829,0.0,32.6
60,0.0336,0.06412,0.04485,0.03974,0.0,32.0
61,0.03352,0.0639,0.04483,0.04093,0.0,31.6
62,0.03373,0.06381,0.04486,0.04357,0.0,31.6
63,0.0338,0.06347,0.04485,0.0466,0.0,31.4
64,0.03395,0.06336,0.04486,0.05133,0.0,31.4
65,0.03419,0.06309,0.04485,0.05694,0.0,30.9
66,0.03431,0.06295,0.04483,0.06041,0.0,30.9
67,0.03441,0.06273,0.0448,0.0651,0.0,30.7
68,0.03441,0.06228,0.04482,0.06969,0.0,30.5
69,0.03451,0.06234,0.04482,0.07388,0.0,30.5
70,0.03456,0.06185,0.0448,0.07838,0.0,29.9
71,0.0347,0.06152,0.04479,0.08227,0.0,29.9
72,0.03489,0.06123,0.0448,0.08621,0.0,29.5
73,0.03495,0.06091,0.04482,0.08956,0.0,29.3
74,0.03504,0.06085,0.0448,0.09316,0.0,29.3
75,0.03512,0.06056,0.04481,0.09617,0.0,29.1
76,0.03519,0.06027,0.04481,0.09769,0.0,28.9
77,0.03519,0.06056,0.0448,0.10141,0.0,28.9
78,0.03523,0.06058,0.0448,0.10396,0.0,28.9
79,0.03518,0.06026,0.04479,0.10542,0.0,28.9
80,0.03524,0.06021,0.04479,0.10574,0.0,29.1
81,0.03535,0.06049,0.04479,0.10878,0.0,28.7
82,0.03535,0.06014,0.04479,0.11135,0.0,28.7
83,0.03533,0.06045,0.04478,0.11148,0.0,28.3
84,0.03536,0.06048,0.04477,0.11357,0.0,28.3
85,0.03543,0.06042,0.04477,0.11701,0.0,28.3
86,0.03549,0.06055,0.04477,0.11911,0.0,28.3
87,0.03548,0.06038,0.04476,0.12236,0.0,28.1
88,0.03554,0.06056,0.04476,0.12505,0.0,28.1
89,0.03552,0.06057,0.04477,0.12895,0.0,28.1
90,0.0355,0.06034,0.04477,0.13143,0.0,28.1
91,0.03524,0.06035,0.04477,0.13271,0.0,28.1
92,0.03531,0.06042,0.04477,0.13344,0.0,27.9
93,0.0353,0.06022,0.04477,0.13531,0.0,27.9
94,0.03523,0.06019,0.04476,0.13652,0.0,27.9
95,0.03521,0.06011,0.04476,0.13517,0.0,27.9
96,0.03517,0.05989,0.04476,0.13533,0.0,27.9
97,0.03516,0.05991,0.04477,0.13602,0.0,27.9
98,0.03519,0.05978,0.04476,0.13537,0.0,27.9
99,0.0352,0.0598,0.04476,0.13497,0.0,27.9
100,0.03518,0.05946,0.04476,0.1351,0.0,27.9
101,0.03518,0.05962,0.04476,0.13558,0.0,27.9
102,0.03518,0.05968,0.04476,0.13585,0.0,28.1
103,0.03518,0.05969,0.04476,0.13537,0.0,28.1
104,0.03519,0.05983,0.04476,0.13565,0.0,28.3
105,0.03526,0.0598,0.04476,0.13535,0.0,28.5
106,0.03525,0.05983,0.04475,0.13525,0.0,28.5
107,0.03531,0.05978,0.04475,0.13506,0.0,28.7
108,0.03521,0.0597,0.04475,0.13535,0.0,28.7
109,0.03529,0.06034,0.04474,0.13554,0.0,28.7
110,0.03528,0.06012,0.04474,0.13544,0.0,28.9
111,0.03528,0.05991,0.04474,0.13487,0.0,28.7
112,0.03528,0.06003,0.04474,0.1358,0.0,28.7
113,0.03533,0.06006,0.04474,0.13576,0.0,28.7
114,0.03529,0.06017,0.04474,0.13532,0.0,28.7
115,0.03535,0.06079,0.04474,0.13482,0.0,28.7
