step,coverage,joints_on_fail,verdict
199680,34.4,0.0,POLICY
399360,34.4,0.02,POLICY
599040,31.1,0.03,POLICY
798720,36.9,0.06,POLICY
998400,36.7,0.05,POLICY
1198080,35.2,0.07,POLICY
1397760,41.2,0.1,POLICY
1597440,38.7,0.06,POLICY
1797120,33.8,0.06,POLICY
1996800,41.2,0.09,POLICY
2196480,42.8,0.12,POLICY
2396160,40.2,0.12,POLICY
2595840,38.7,0.08,POLICY
2795520,41.2,0.07,POLICY
2995200,41.8,0.12,POLICY
3194880,39.3,0.14,POLICY
3394560,44.5,0.23,POLICY
3594240,44.1,0.16,POLICY
3793920,40.2,0.21,POLICY
3993600,45.1,0.38,POLICY
4193280,47.7,0.48,POLICY
4392960,44.1,0.57,POLICY
4592640,46.3,0.69,POLICY
4792320,47.7,0.66,POLICY
4992000,43.9,0.76,POLICY
5191680,42.0,0.87,POLICY
5391360,37.5,0.98,POLICY
5591040,37.9,1.12,KINEMATIC
5790720,39.5,1.0,KINEMATIC
5990400,38.3,1.13,KINEMATIC
6190080,41.2,1.1,KINEMATIC
6389760,46.5,0.99,POLICY
6589440,32.8,0.91,POLICY
6789120,32.0,1.04,POLICY
6988800,25.8,1.03,POLICY
7188480,28.7,0.93,POLICY
7388160,34.6,0.66,POLICY
7587840,32.8,0.59,POLICY
7787520,39.5,0.35,POLICY
7987200,42.6,0.5,POLICY
8186880,37.7,0.52,POLICY
8386560,32.0,0.53,POLICY
8586240,30.7,0.52,POLICY
8785920,24.2,0.65,POLICY
8985600,18.0,0.76,POLICY
9185280,21.5,0.83,POLICY
9584640,11.1,0.67,POLICY
9784320,7.0,0.84,POLICY
9984000,10.2,0.91,POLICY
10000000,34.4,0.02,POLICY
10000000,9.0,0.87,POLICY
